Hospital_ID,District_ID,Instrument_ID,Annual_Projected_Revenue
Hospital 1199,District 20,Instrument 3,29076
Hospital 1199,District 28,Instrument 2,43470
Hospital 1199,District 28,Instrument 3,38700
Hospital 1199,District 32,Instrument 2,13200
Hospital 1199,District 32,Instrument 3,2040
Hospital 12,District 13,Instrument 5,3625
Hospital 12,District 28,Instrument 2,2465
Hospital 12,District 28,Instrument 3,6720
Hospital 12,District 50,Instrument 2,16142
Hospital 120,District 13,Instrument 2,228
Hospital 120,District 13,Instrument 3,3612
Hospital 120,District 20,Instrument 2,3376
Hospital 120,District 20,Instrument 3,219
Hospital 1200,District 13,Instrument 2,732432
Hospital 1200,District 13,Instrument 3,44574
Hospital 1200,District 13,Instrument 5,431
Hospital 1200,District 20,Instrument 7,19800
Hospital 1200,District 39,Instrument 2,2408
Hospital 1200,District 39,Instrument 7,70201
Hospital 1200,District 50,Instrument 2,480
Hospital 1201,District 13,Instrument 5,24690
Hospital 1201,District 15,Instrument 2,293
Hospital 1201,District 15,Instrument 3,180
Hospital 1201,District 2,Instrument 2,6313
Hospital 1201,District 20,Instrument 2,2598
Hospital 1201,District 28,Instrument 2,19404
Hospital 1201,District 28,Instrument 3,8700
Hospital 1202,District 13,Instrument 2,41400
Hospital 1202,District 13,Instrument 3,56232
Hospital 1202,District 20,Instrument 2,315655
Hospital 1202,District 20,Instrument 3,172728
Hospital 1202,District 28,Instrument 2,2280
Hospital 1202,District 28,Instrument 3,66307
Hospital 1202,District 41,Instrument 2,55143
Hospital 1202,District 41,Instrument 3,76080
Hospital 1202,District 48,Instrument 2,7800
Hospital 1202,District 48,Instrument 8,1680
Hospital 1204,District 13,Instrument 2,64469
Hospital 1204,District 13,Instrument 5,8376
Hospital 1206,District 28,Instrument 2,12936
Hospital 1206,District 28,Instrument 3,11166
Hospital 1206,District 50,Instrument 2,181
Hospital 1206,District 50,Instrument 5,3941
Hospital 1207,District 13,Instrument 2,66180
Hospital 1207,District 20,Instrument 2,11852
Hospital 1207,District 20,Instrument 3,1424
Hospital 1207,District 50,Instrument 2,121627
Hospital 1207,District 50,Instrument 3,9043
Hospital 1208,District 34,Instrument 2,2565
Hospital 1208,District 34,Instrument 3,1645
Hospital 1208,District 34,Instrument 4,360
Hospital 1209,District 12,Instrument 2,537315
Hospital 1209,District 12,Instrument 3,190
Hospital 1209,District 13,Instrument 2,102630
Hospital 1209,District 13,Instrument 3,761388
Hospital 1209,District 15,Instrument 2,159000
Hospital 1209,District 19,Instrument 2,19998
Hospital 1209,District 20,Instrument 2,29520
Hospital 1209,District 20,Instrument 3,57942
Hospital 1209,District 3,Instrument 2,73240
Hospital 1209,District 32,Instrument 2,80418
Hospital 1209,District 32,Instrument 3,41352
Hospital 1209,District 32,Instrument 4,7242
Hospital 1209,District 34,Instrument 2,4680
Hospital 1209,District 34,Instrument 3,4154
Hospital 1209,District 34,Instrument 5,600
Hospital 1209,District 39,Instrument 2,67398
Hospital 1209,District 41,Instrument 2,3774
Hospital 1209,District 41,Instrument 3,3848
Hospital 1209,District 50,Instrument 2,167493
Hospital 1209,District 50,Instrument 3,197656
Hospital 121,District 13,Instrument 2,176076
Hospital 121,District 13,Instrument 3,115157
Hospital 121,District 13,Instrument 5,162
Hospital 121,District 15,Instrument 2,1398
Hospital 121,District 15,Instrument 3,2040
Hospital 121,District 28,Instrument 2,23258
Hospital 1210,District 20,Instrument 2,130902
Hospital 1210,District 20,Instrument 3,6360
Hospital 1210,District 34,Instrument 2,9000
Hospital 1210,District 34,Instrument 3,1800
Hospital 1210,District 41,Instrument 2,1500
Hospital 1210,District 41,Instrument 5,120
Hospital 1211,District 50,Instrument 2,21129
Hospital 1211,District 50,Instrument 3,312
Hospital 1212,District 13,Instrument 2,225384
Hospital 1212,District 13,Instrument 3,27864
Hospital 1212,District 13,Instrument 4,60102
Hospital 1212,District 13,Instrument 5,60240
Hospital 1212,District 20,Instrument 2,44490
Hospital 1213,District 13,Instrument 3,9532
Hospital 1213,District 28,Instrument 2,792
Hospital 1213,District 28,Instrument 3,480
Hospital 1213,District 28,Instrument 5,19618
Hospital 1213,District 28,Instrument 7,5340
Hospital 1213,District 34,Instrument 2,4940
Hospital 1213,District 34,Instrument 3,5316
Hospital 1213,District 34,Instrument 5,300
Hospital 1213,District 34,Instrument 7,1800
Hospital 1214,District 20,Instrument 2,7232
Hospital 1214,District 20,Instrument 3,2758
Hospital 1214,District 34,Instrument 2,168
Hospital 1214,District 34,Instrument 5,2400
Hospital 1215,District 13,Instrument 3,21438
Hospital 1215,District 20,Instrument 2,2653
Hospital 1215,District 20,Instrument 3,10614
Hospital 1215,District 28,Instrument 2,45528
Hospital 1215,District 28,Instrument 3,5880
Hospital 1215,District 50,Instrument 2,50056
Hospital 1215,District 50,Instrument 3,8711
Hospital 1215,District 50,Instrument 5,513350
Hospital 1216,District 13,Instrument 3,2820
Hospital 1216,District 13,Instrument 8,1087599
Hospital 1216,District 20,Instrument 2,3843
Hospital 1219,District 13,Instrument 2,4944
Hospital 1219,District 20,Instrument 3,276
Hospital 1219,District 41,Instrument 2,588
Hospital 1219,District 41,Instrument 3,594
Hospital 1219,District 41,Instrument 5,1200
Hospital 122,District 20,Instrument 2,3720
Hospital 122,District 20,Instrument 3,4099
Hospital 1221,District 13,Instrument 2,18609
Hospital 1221,District 13,Instrument 3,630
Hospital 1221,District 19,Instrument 2,63401
Hospital 1221,District 28,Instrument 2,601729
Hospital 1221,District 28,Instrument 3,396863
Hospital 1221,District 28,Instrument 4,134619
Hospital 1221,District 28,Instrument 5,127150
Hospital 1221,District 28,Instrument 7,477018
Hospital 1221,District 28,Instrument 8,25550
Hospital 1222,District 13,Instrument 2,41040
Hospital 1222,District 13,Instrument 3,35910
Hospital 1222,District 13,Instrument 5,60240
Hospital 1222,District 15,Instrument 2,540
Hospital 1222,District 19,Instrument 2,82704
Hospital 1222,District 20,Instrument 2,153812
Hospital 1222,District 20,Instrument 3,29274
Hospital 1222,District 34,Instrument 2,19500
Hospital 1222,District 34,Instrument 3,5376
Hospital 1222,District 34,Instrument 4,1170
Hospital 1222,District 34,Instrument 5,42000
Hospital 1222,District 34,Instrument 7,21360
Hospital 1222,District 50,Instrument 2,62770
Hospital 1222,District 50,Instrument 5,1695514
Hospital 1222,District 50,Instrument 7,768257
Hospital 1222,District 8,Instrument 2,2700
Hospital 1223,District 13,Instrument 2,45756
Hospital 1223,District 13,Instrument 3,122394
Hospital 1223,District 28,Instrument 2,111375
Hospital 1223,District 28,Instrument 3,419760
Hospital 1223,District 28,Instrument 4,37800
Hospital 1223,District 28,Instrument 5,36300
Hospital 1225,District 13,Instrument 2,15314
Hospital 1225,District 13,Instrument 3,36426
Hospital 1225,District 15,Instrument 2,2580
Hospital 1225,District 20,Instrument 2,26730
Hospital 1225,District 20,Instrument 3,6150
Hospital 1225,District 28,Instrument 2,239400
Hospital 1225,District 28,Instrument 3,256050
Hospital 1225,District 39,Instrument 2,2462
Hospital 1225,District 41,Instrument 2,3960
Hospital 1225,District 41,Instrument 3,720
Hospital 1225,District 44,Instrument 2,494340
Hospital 1225,District 50,Instrument 2,6840
Hospital 1225,District 50,Instrument 3,7820
Hospital 1226,District 15,Instrument 2,71568
Hospital 1226,District 15,Instrument 3,10608
Hospital 1226,District 15,Instrument 5,13500
Hospital 1226,District 15,Instrument 7,4200
Hospital 1226,District 28,Instrument 2,298091
Hospital 1226,District 28,Instrument 3,69231
Hospital 1226,District 34,Instrument 2,6906
Hospital 1226,District 34,Instrument 3,690
Hospital 1226,District 34,Instrument 7,2400
Hospital 1227,District 13,Instrument 2,198261
Hospital 1227,District 13,Instrument 3,84690
Hospital 1227,District 13,Instrument 8,1173861
Hospital 1227,District 17,Instrument 8,1484
Hospital 1227,District 20,Instrument 2,43380
Hospital 1227,District 20,Instrument 3,4958
Hospital 1227,District 20,Instrument 8,95940
Hospital 1227,District 28,Instrument 2,102492
Hospital 1227,District 28,Instrument 3,20580
Hospital 1227,District 34,Instrument 3,954
Hospital 1229,District 13,Instrument 2,42000
Hospital 1229,District 13,Instrument 3,12960
Hospital 1229,District 13,Instrument 5,7500
Hospital 123,District 18,Instrument 2,7341
Hospital 123,District 20,Instrument 2,557
Hospital 123,District 20,Instrument 3,648
Hospital 123,District 28,Instrument 2,2640
Hospital 123,District 28,Instrument 3,3840
Hospital 1230,District 50,Instrument 2,2902
Hospital 1230,District 50,Instrument 5,59844
Hospital 1230,District 50,Instrument 7,19210
Hospital 1230,District 8,Instrument 2,5966
Hospital 1231,District 19,Instrument 2,97063
Hospital 1231,District 20,Instrument 2,30240
Hospital 1231,District 20,Instrument 3,5820
Hospital 1231,District 41,Instrument 2,1590
Hospital 1231,District 41,Instrument 3,120
Hospital 1231,District 50,Instrument 7,70704
Hospital 1233,District 13,Instrument 2,3347526
Hospital 1233,District 13,Instrument 3,3399545
Hospital 1233,District 13,Instrument 4,206137
Hospital 1233,District 13,Instrument 5,184346
Hospital 1233,District 13,Instrument 8,1201163
Hospital 1233,District 17,Instrument 2,8407
Hospital 1233,District 17,Instrument 8,7006
Hospital 1233,District 20,Instrument 2,31200
Hospital 1233,District 20,Instrument 3,3600
Hospital 1233,District 28,Instrument 2,376742
Hospital 1233,District 28,Instrument 3,20250
Hospital 1233,District 28,Instrument 4,74742
Hospital 1233,District 48,Instrument 2,18720
Hospital 1233,District 50,Instrument 2,31228
Hospital 1233,District 50,Instrument 3,10596
Hospital 1233,District 50,Instrument 5,13105000
Hospital 1233,District 50,Instrument 7,29152
Hospital 1233,District 50,Instrument 8,852458
Hospital 1234,District 19,Instrument 5,411000
Hospital 1234,District 19,Instrument 7,10801
Hospital 1235,District 50,Instrument 2,4899
Hospital 1235,District 50,Instrument 3,3291
Hospital 1235,District 50,Instrument 8,17336
Hospital 1237,District 13,Instrument 5,10338
Hospital 1237,District 28,Instrument 2,17112
Hospital 1237,District 28,Instrument 3,43644
Hospital 1237,District 39,Instrument 2,426
Hospital 1238,District 48,Instrument 8,30052
Hospital 1239,District 20,Instrument 2,57900
Hospital 1239,District 20,Instrument 3,5850
Hospital 1239,District 34,Instrument 2,110280
Hospital 1239,District 34,Instrument 3,51366
Hospital 1239,District 34,Instrument 4,16386
Hospital 1239,District 34,Instrument 5,10248
Hospital 1239,District 39,Instrument 2,11451
Hospital 1239,District 39,Instrument 7,6912
Hospital 1239,District 50,Instrument 3,33879
Hospital 1239,District 51,Instrument 7,34939
Hospital 1239,District 52,Instrument 7,48395
Hospital 1240,District 28,Instrument 2,41310
Hospital 1240,District 28,Instrument 3,9180
Hospital 1241,District 12,Instrument 2,9768
Hospital 1241,District 12,Instrument 3,30576
Hospital 1241,District 32,Instrument 2,7224
Hospital 1241,District 32,Instrument 3,15150
Hospital 1241,District 41,Instrument 2,50400
Hospital 1241,District 41,Instrument 3,75600
Hospital 1241,District 41,Instrument 5,16830
Hospital 1241,District 50,Instrument 2,3600
Hospital 1241,District 50,Instrument 3,64178
Hospital 1242,District 10,Instrument 2,58477
Hospital 1242,District 12,Instrument 2,480000
Hospital 1242,District 12,Instrument 3,225000
Hospital 1242,District 13,Instrument 2,14700
Hospital 1242,District 13,Instrument 3,65435
Hospital 1242,District 15,Instrument 3,1428
Hospital 1243,District 20,Instrument 2,60284
Hospital 1243,District 20,Instrument 3,146159
Hospital 1244,District 13,Instrument 2,259570
Hospital 1244,District 13,Instrument 3,16067
Hospital 1244,District 18,Instrument 2,18900
Hospital 1244,District 18,Instrument 3,25800
Hospital 1244,District 2,Instrument 2,10140
Hospital 1244,District 2,Instrument 3,25500
Hospital 1244,District 20,Instrument 2,11298
Hospital 1244,District 20,Instrument 3,4412
Hospital 1244,District 37,Instrument 2,107100
Hospital 1244,District 37,Instrument 3,110850
Hospital 1244,District 41,Instrument 3,15888
Hospital 1244,District 50,Instrument 3,4413
Hospital 1245,District 39,Instrument 2,426
Hospital 1246,District 13,Instrument 2,1138961
Hospital 1246,District 13,Instrument 3,152439
Hospital 1246,District 13,Instrument 5,1800
Hospital 1246,District 18,Instrument 2,6643
Hospital 1246,District 18,Instrument 3,18601
Hospital 1246,District 18,Instrument 7,13172
Hospital 1246,District 20,Instrument 3,17130
Hospital 1246,District 28,Instrument 2,160457
Hospital 1246,District 28,Instrument 3,108987
Hospital 1246,District 32,Instrument 2,57763
Hospital 1246,District 32,Instrument 3,7979
Hospital 1246,District 32,Instrument 5,1200
Hospital 1246,District 34,Instrument 2,34080
Hospital 1246,District 34,Instrument 3,2928
Hospital 1246,District 34,Instrument 5,600
Hospital 1246,District 41,Instrument 2,9612
Hospital 1246,District 41,Instrument 3,42048
Hospital 1246,District 50,Instrument 2,42000
Hospital 1246,District 50,Instrument 3,15426
Hospital 1246,District 8,Instrument 2,2250
Hospital 1248,District 13,Instrument 2,6117
Hospital 1248,District 13,Instrument 3,6609
Hospital 1248,District 18,Instrument 2,8280
Hospital 1248,District 34,Instrument 2,306
Hospital 1248,District 34,Instrument 3,1800
Hospital 1248,District 39,Instrument 2,3313
Hospital 1248,District 39,Instrument 7,30973
Hospital 1249,District 39,Instrument 2,229
Hospital 1249,District 39,Instrument 7,205107
Hospital 1250,District 8,Instrument 2,33120
Hospital 1251,District 10,Instrument 2,139800
Hospital 1251,District 10,Instrument 3,88800
Hospital 1251,District 13,Instrument 2,265799
Hospital 1251,District 13,Instrument 3,436758
Hospital 1251,District 13,Instrument 4,1170
Hospital 1251,District 32,Instrument 3,4800
Hospital 1253,District 13,Instrument 2,2880
Hospital 1253,District 17,Instrument 2,673
Hospital 1253,District 20,Instrument 2,1620
Hospital 1253,District 20,Instrument 3,8166
Hospital 1253,District 28,Instrument 2,12006
Hospital 1253,District 28,Instrument 3,10518
Hospital 1253,District 41,Instrument 3,5250
Hospital 1253,District 41,Instrument 5,152500
Hospital 1253,District 41,Instrument 8,25200
Hospital 1253,District 50,Instrument 2,400136
Hospital 1253,District 50,Instrument 3,41850
Hospital 1253,District 50,Instrument 4,298642
Hospital 1255,District 13,Instrument 2,36216
Hospital 1255,District 13,Instrument 5,7756
Hospital 1255,District 20,Instrument 3,3033
Hospital 1257,District 10,Instrument 2,37968
Hospital 1257,District 10,Instrument 3,1356
Hospital 1257,District 10,Instrument 4,21696
Hospital 1257,District 12,Instrument 2,156461
Hospital 1257,District 12,Instrument 3,44510
Hospital 1257,District 13,Instrument 2,148320
Hospital 1257,District 17,Instrument 2,111339
Hospital 1257,District 17,Instrument 3,2801
Hospital 1257,District 18,Instrument 2,4065
Hospital 1257,District 19,Instrument 2,51183
Hospital 1257,District 20,Instrument 2,183110
Hospital 1257,District 20,Instrument 3,51624
Hospital 1257,District 20,Instrument 7,1614
Hospital 1257,District 28,Instrument 2,44100
Hospital 1257,District 28,Instrument 3,8880
Hospital 1257,District 28,Instrument 4,13260
Hospital 1257,District 3,Instrument 2,52490
Hospital 1257,District 39,Instrument 2,3600
Hospital 1257,District 39,Instrument 4,1320
Hospital 1257,District 4,Instrument 2,276707
Hospital 1257,District 44,Instrument 2,32490
Hospital 1257,District 44,Instrument 3,18420
Hospital 1257,District 48,Instrument 7,8760
Hospital 1257,District 49,Instrument 2,3600
Hospital 1257,District 5,Instrument 2,19872
Hospital 1257,District 50,Instrument 2,51165
Hospital 1257,District 50,Instrument 3,103793
Hospital 1257,District 9,Instrument 2,15105
Hospital 1258,District 17,Instrument 2,1353
Hospital 1258,District 17,Instrument 3,1856
Hospital 1258,District 28,Instrument 2,23400
Hospital 1258,District 28,Instrument 3,14040
Hospital 1258,District 28,Instrument 5,11133
Hospital 1259,District 13,Instrument 2,7200
Hospital 1259,District 39,Instrument 2,1535162
Hospital 1259,District 50,Instrument 3,20420
Hospital 1260,District 13,Instrument 2,109293
Hospital 1260,District 13,Instrument 5,4698
Hospital 1260,District 17,Instrument 2,199
Hospital 1260,District 20,Instrument 2,13060
Hospital 1260,District 20,Instrument 3,1476
Hospital 1260,District 28,Instrument 2,282984
Hospital 1260,District 28,Instrument 3,10350
Hospital 1260,District 28,Instrument 4,31005
Hospital 1260,District 41,Instrument 2,60000
Hospital 1260,District 50,Instrument 2,20683
Hospital 1260,District 50,Instrument 3,5355
Hospital 1264,District 25,Instrument 2,95040
Hospital 1264,District 28,Instrument 2,72372
Hospital 1264,District 28,Instrument 3,7502
Hospital 1264,District 28,Instrument 5,31921
Hospital 1265,District 12,Instrument 3,153216
Hospital 1265,District 13,Instrument 2,204121
Hospital 1265,District 13,Instrument 3,52513
Hospital 1265,District 13,Instrument 4,25473
Hospital 1265,District 13,Instrument 5,65190
Hospital 1265,District 15,Instrument 2,18000
Hospital 1265,District 15,Instrument 3,1260
Hospital 1265,District 20,Instrument 2,95323
Hospital 1265,District 20,Instrument 3,62280
Hospital 1265,District 20,Instrument 7,4800
Hospital 1265,District 28,Instrument 2,24731
Hospital 1265,District 28,Instrument 3,5507
Hospital 1265,District 28,Instrument 4,3870
Hospital 1265,District 34,Instrument 2,10344
Hospital 1265,District 34,Instrument 3,4032
Hospital 1265,District 34,Instrument 5,378
Hospital 1265,District 34,Instrument 7,2372
Hospital 1265,District 41,Instrument 2,67350
Hospital 1265,District 41,Instrument 3,87300
Hospital 1265,District 41,Instrument 5,6480
Hospital 1265,District 50,Instrument 2,421478
Hospital 1265,District 50,Instrument 3,46770
Hospital 1265,District 50,Instrument 5,62694
Hospital 1265,No District Available,Instrument 8,238500
Hospital 1266,District 13,Instrument 2,31140
Hospital 1266,District 20,Instrument 2,39150
Hospital 1266,District 20,Instrument 3,6132
Hospital 1266,District 20,Instrument 7,182000
Hospital 1267,District 13,Instrument 3,9225
Hospital 1267,District 13,Instrument 5,42677
Hospital 1267,District 17,Instrument 2,23377
Hospital 1267,District 18,Instrument 3,10906
Hospital 1267,District 20,Instrument 2,131010
Hospital 1267,District 20,Instrument 3,11646
Hospital 1267,District 20,Instrument 8,243996
Hospital 1267,District 28,Instrument 2,50646
Hospital 1267,District 28,Instrument 3,23138
Hospital 1267,District 28,Instrument 8,54000
Hospital 1267,District 34,Instrument 2,17040
Hospital 1267,District 41,Instrument 8,547200
Hospital 1267,District 44,Instrument 2,1046400
Hospital 1267,District 48,Instrument 2,47652
Hospital 1267,District 48,Instrument 7,52041
Hospital 1267,District 50,Instrument 2,85765
Hospital 1267,District 50,Instrument 3,140106
Hospital 1267,District 50,Instrument 5,116655
Hospital 1267,District 50,Instrument 7,9556
Hospital 1268,District 12,Instrument 2,250746
Hospital 1268,District 12,Instrument 3,7350
Hospital 1268,District 13,Instrument 2,12473
Hospital 1268,District 13,Instrument 3,45853
Hospital 1268,District 13,Instrument 4,273
Hospital 1268,District 13,Instrument 8,2400
Hospital 1268,District 17,Instrument 2,6133
Hospital 1268,District 17,Instrument 3,1905
Hospital 1268,District 20,Instrument 2,238377
Hospital 1268,District 20,Instrument 3,9990
Hospital 1268,District 28,Instrument 8,4590
Hospital 1268,District 34,Instrument 2,159624
Hospital 1268,District 34,Instrument 3,65310
Hospital 1268,District 34,Instrument 5,6000
Hospital 1268,District 34,Instrument 7,5880
Hospital 1268,District 34,Instrument 8,720
Hospital 1268,District 50,Instrument 5,839136
Hospital 1269,District 13,Instrument 3,1200
Hospital 127,District 32,Instrument 3,6665
Hospital 1270,District 13,Instrument 2,732
Hospital 1270,District 13,Instrument 4,18480
Hospital 1270,District 34,Instrument 2,1440
Hospital 1270,District 34,Instrument 3,684
Hospital 1270,District 34,Instrument 4,216
Hospital 1271,District 12,Instrument 2,28440
Hospital 1271,District 13,Instrument 2,12192
Hospital 1271,District 13,Instrument 5,360
Hospital 1271,District 15,Instrument 2,28596
Hospital 1271,District 15,Instrument 3,1440
Hospital 1271,District 20,Instrument 2,110532
Hospital 1271,District 20,Instrument 3,78798
Hospital 1271,District 20,Instrument 8,41650
Hospital 1271,District 28,Instrument 2,2880
Hospital 1271,District 28,Instrument 3,960
Hospital 1271,District 4,Instrument 2,18720
Hospital 1271,District 41,Instrument 2,18744
Hospital 1271,District 41,Instrument 3,10614
Hospital 1271,District 50,Instrument 2,326812
Hospital 1271,District 50,Instrument 5,220471
Hospital 1272,District 13,Instrument 2,94482
Hospital 1272,District 13,Instrument 3,20011
Hospital 1272,District 13,Instrument 4,81576
Hospital 1272,District 13,Instrument 5,88000
Hospital 1272,District 13,Instrument 8,14550
Hospital 1274,District 13,Instrument 2,548675
Hospital 1274,District 13,Instrument 3,896840
Hospital 1274,District 13,Instrument 5,950
Hospital 1274,District 34,Instrument 2,60612
Hospital 1274,District 34,Instrument 3,58995
Hospital 1274,District 34,Instrument 5,9783
Hospital 1274,District 34,Instrument 7,203573
Hospital 1275,District 13,Instrument 2,65333
Hospital 1275,District 13,Instrument 3,70151
Hospital 1275,District 13,Instrument 4,38718
Hospital 1275,District 13,Instrument 5,195035
Hospital 1275,District 20,Instrument 2,2840
Hospital 1275,District 20,Instrument 3,965
Hospital 1275,District 3,Instrument 2,13680
Hospital 1275,District 50,Instrument 3,11259
Hospital 1278,District 13,Instrument 2,8079
Hospital 1278,District 15,Instrument 2,4260
Hospital 1278,District 20,Instrument 2,93840
Hospital 1278,District 20,Instrument 3,39330
Hospital 1278,District 41,Instrument 2,78480
Hospital 1278,District 41,Instrument 3,36030
Hospital 1278,District 41,Instrument 5,27600
Hospital 1279,District 18,Instrument 2,65770
Hospital 128,District 34,Instrument 2,288
Hospital 128,District 34,Instrument 3,1656
Hospital 1281,District 13,Instrument 2,377897
Hospital 1281,District 13,Instrument 3,75382
Hospital 1281,District 13,Instrument 5,115543
Hospital 1281,District 13,Instrument 8,2253
Hospital 1281,District 28,Instrument 2,99720
Hospital 1281,District 28,Instrument 3,38592
Hospital 1281,District 28,Instrument 4,3960
Hospital 1281,District 28,Instrument 8,408826
Hospital 1281,District 39,Instrument 2,3816
Hospital 1281,District 39,Instrument 7,421
Hospital 1281,District 48,Instrument 8,2880
Hospital 1282,District 28,Instrument 8,524039
Hospital 1282,District 32,Instrument 2,44904
Hospital 1282,District 32,Instrument 3,59454
Hospital 1282,District 32,Instrument 5,218640
Hospital 1282,District 41,Instrument 3,14400
Hospital 1282,District 41,Instrument 5,10980
Hospital 1282,District 41,Instrument 8,1148850
Hospital 1282,No District Available,Instrument 18,30000
Hospital 1283,District 13,Instrument 2,113191
Hospital 1283,District 13,Instrument 3,2658
Hospital 1283,District 13,Instrument 5,15150
Hospital 1283,District 20,Instrument 2,57191
Hospital 1283,District 20,Instrument 3,13746
Hospital 1283,District 34,Instrument 2,1008
Hospital 1283,District 34,Instrument 3,450
Hospital 1283,District 50,Instrument 5,9984
Hospital 1284,District 13,Instrument 2,83058
Hospital 1284,District 20,Instrument 2,1607
Hospital 1284,District 20,Instrument 3,3166
Hospital 1285,District 50,Instrument 2,12506
Hospital 1286,District 20,Instrument 2,1024
Hospital 1286,District 20,Instrument 3,450
Hospital 1287,District 18,Instrument 5,10629
Hospital 1287,District 18,Instrument 7,88732
Hospital 1288,District 20,Instrument 2,31607
Hospital 1288,District 20,Instrument 3,7487
Hospital 1288,District 50,Instrument 2,12029
Hospital 1288,District 50,Instrument 3,326
Hospital 1288,District 50,Instrument 4,81853
Hospital 1289,District 13,Instrument 2,3600
Hospital 1289,District 13,Instrument 3,425
Hospital 1289,District 13,Instrument 5,56118
Hospital 1289,District 20,Instrument 2,701
Hospital 1289,District 28,Instrument 2,999
Hospital 1289,District 28,Instrument 3,828
Hospital 1289,District 50,Instrument 3,16628
Hospital 1291,District 10,Instrument 2,35817
Hospital 1291,District 13,Instrument 2,150397
Hospital 1291,District 13,Instrument 3,30466
Hospital 1291,District 13,Instrument 5,5706
Hospital 1291,District 15,Instrument 2,2040
Hospital 1291,District 15,Instrument 7,3600
Hospital 1291,District 18,Instrument 7,815
Hospital 1291,District 19,Instrument 7,209000
Hospital 1291,District 32,Instrument 2,16446
Hospital 1291,District 32,Instrument 3,5538
Hospital 1291,District 32,Instrument 5,6000
Hospital 1291,District 50,Instrument 5,43548
Hospital 1291,District 8,Instrument 2,6480
Hospital 1293,District 12,Instrument 2,13762
Hospital 1293,District 12,Instrument 3,26361
Hospital 1293,District 13,Instrument 2,9349
Hospital 1293,District 13,Instrument 3,18837
Hospital 1293,District 13,Instrument 4,78169
Hospital 1293,District 13,Instrument 5,2976
Hospital 1293,District 17,Instrument 2,1514
Hospital 1293,District 20,Instrument 3,1044
Hospital 1293,District 28,Instrument 3,33723
Hospital 1293,District 29,Instrument 2,37653
Hospital 1293,District 35,Instrument 2,1571
Hospital 1293,District 41,Instrument 2,714
Hospital 1294,District 13,Instrument 2,741504
Hospital 1294,District 13,Instrument 3,630869
Hospital 1294,District 13,Instrument 4,56912
Hospital 1294,District 13,Instrument 5,167130
Hospital 1294,District 18,Instrument 7,505
Hospital 1294,District 20,Instrument 2,30096
Hospital 1294,District 20,Instrument 3,1800
Hospital 1294,District 21,Instrument 7,19740
Hospital 1294,District 28,Instrument 2,445967
Hospital 1294,District 28,Instrument 3,62400
Hospital 1294,District 28,Instrument 4,15750
Hospital 1294,District 33,Instrument 2,300000
Hospital 1294,District 33,Instrument 4,15000
Hospital 1294,District 41,Instrument 3,1080
Hospital 1294,District 41,Instrument 8,624
Hospital 1295,District 20,Instrument 2,2340
Hospital 1295,District 20,Instrument 3,3998
Hospital 1295,District 34,Instrument 2,3719
Hospital 1295,District 34,Instrument 3,1759
Hospital 1295,District 41,Instrument 2,3060
Hospital 1295,District 41,Instrument 3,3840
Hospital 1295,District 50,Instrument 2,117774
Hospital 1295,District 50,Instrument 3,4545
Hospital 1296,District 13,Instrument 2,48255
Hospital 1296,District 13,Instrument 3,27492
Hospital 1296,District 20,Instrument 2,3314
Hospital 1296,District 20,Instrument 3,1061
Hospital 1299,District 20,Instrument 2,1205
Hospital 1299,District 20,Instrument 3,44100
Hospital 1299,District 41,Instrument 2,8460
Hospital 1299,District 41,Instrument 3,6120
Hospital 13,District 13,Instrument 2,63720
Hospital 13,District 15,Instrument 2,1680
Hospital 13,District 15,Instrument 3,900
Hospital 13,District 17,Instrument 2,2654
Hospital 13,District 18,Instrument 5,8370
Hospital 13,District 18,Instrument 7,56939
Hospital 13,District 20,Instrument 2,450894
Hospital 13,District 20,Instrument 3,331623
Hospital 13,District 34,Instrument 2,60492
Hospital 13,District 34,Instrument 3,16050
Hospital 13,District 34,Instrument 5,9600
Hospital 13,District 34,Instrument 7,7990
Hospital 13,District 41,Instrument 2,142339
Hospital 13,District 41,Instrument 3,22134
Hospital 13,District 50,Instrument 2,1723590
Hospital 13,District 50,Instrument 3,1596171
Hospital 13,District 50,Instrument 5,9180
Hospital 13,District 50,Instrument 7,9376
Hospital 13,No District Available,Instrument 13,940306
Hospital 1300,District 39,Instrument 7,237681
Hospital 1301,District 13,Instrument 2,912
Hospital 1301,District 13,Instrument 3,240
Hospital 1301,District 13,Instrument 5,49752
Hospital 1301,District 19,Instrument 2,42071
Hospital 1301,District 20,Instrument 2,1872
Hospital 1301,District 20,Instrument 3,1182
Hospital 1301,District 41,Instrument 5,3096
Hospital 1303,District 13,Instrument 2,136866
Hospital 1303,District 13,Instrument 3,267296
Hospital 1303,District 13,Instrument 5,19200
Hospital 1303,District 20,Instrument 2,40523
Hospital 1303,District 20,Instrument 3,5850
Hospital 1304,District 13,Instrument 2,2993249
Hospital 1304,District 13,Instrument 3,8777920
Hospital 1304,District 13,Instrument 4,462766
Hospital 1304,District 13,Instrument 5,886758
Hospital 1304,District 15,Instrument 2,16494
Hospital 1304,District 15,Instrument 3,10614
Hospital 1304,District 15,Instrument 5,8100
Hospital 1304,District 18,Instrument 7,1107
Hospital 1304,District 32,Instrument 2,173283
Hospital 1304,District 32,Instrument 3,35586
Hospital 1304,District 34,Instrument 2,2328
Hospital 1304,District 34,Instrument 3,4781
