Hospital_ID,District_ID,Hospital_employees
Hospital 1353,District 40,14
Hospital 1353,District 40,14
Hospital 1353,District 41,289
Hospital 1353,District 43,145
Hospital 1353,District 44,22
Hospital 1353,District 46,1
Hospital 1353,District 46,1
Hospital 1353,District 48,2
Hospital 1353,District 53,14723
Hospital 1353,District 6,528
Hospital 1353,District 8,295
Hospital 1353,District 9,512
Hospital 1354,District 12,447
Hospital 1354,District 13,647
Hospital 1354,District 16,8
Hospital 1354,District 17,1
Hospital 1354,District 19,78
Hospital 1354,District 19,78
Hospital 1354,District 20,155
Hospital 1354,District 28,766
Hospital 1354,District 3,40
Hospital 1354,District 30,353
Hospital 1354,District 32,365
Hospital 1354,District 4,77
Hospital 1354,District 41,46
Hospital 1354,District 43,41
Hospital 1354,District 53,35110
Hospital 1354,District 6,1732
Hospital 1354,District 8,4
Hospital 1354,District 9,38
Hospital 1355,District 16,56
Hospital 1355,District 2,484
Hospital 1355,District 31,106
Hospital 1355,District 37,31
Hospital 1355,District 41,2
Hospital 1355,District 45,12
Hospital 1355,District 45,12
Hospital 1355,District 46,1028
Hospital 1355,District 53,83253
Hospital 1355,District 6,5181
Hospital 1356,District 12,1506
Hospital 1356,District 13,4
Hospital 1356,District 16,13
Hospital 1356,District 20,28
Hospital 1356,District 28,92
Hospital 1356,District 32,7
Hospital 1356,District 37,2
Hospital 1356,District 41,45
Hospital 1356,District 44,38
Hospital 1356,District 53,446
Hospital 1356,District 53,243
Hospital 1357,District 11,31
Hospital 1357,District 12,92
Hospital 1357,District 13,52
Hospital 1357,District 16,10
Hospital 1357,District 18,49
Hospital 1357,District 20,1
Hospital 1357,District 23,1
Hospital 1357,District 25,309
Hospital 1357,District 26,327
Hospital 1357,District 37,12
Hospital 1357,District 4,82
Hospital 1357,District 53,81313
Hospital 1357,District 6,269
Hospital 1358,District 12,100
Hospital 1358,District 13,101
Hospital 1358,District 16,346
Hospital 1358,District 19,785
Hospital 1358,District 19,785
Hospital 1358,District 20,327
Hospital 1358,District 23,320
Hospital 1358,District 37,33
Hospital 1358,District 4,80
Hospital 1358,District 40,51
Hospital 1358,District 40,51
Hospital 1358,District 44,84
Hospital 1358,District 45,36
Hospital 1358,District 45,36
Hospital 1358,District 53,9216
Hospital 1358,District 6,570
Hospital 1359,District 13,14
Hospital 1359,District 19,10
Hospital 1359,District 28,13
Hospital 1359,District 30,8225
Hospital 1359,District 35,4
Hospital 1359,District 37,17
Hospital 1359,District 4,5
Hospital 1359,District 43,4
Hospital 1359,District 44,8
Hospital 1359,District 53,120
Hospital 1359,District 6,97
Hospital 1359,District 8,5
Hospital 1359,District 9,1083
Hospital 136,District 12,3591
Hospital 136,District 13,3698
Hospital 136,District 15,46
Hospital 136,District 16,266
Hospital 136,District 17,909
Hospital 136,District 19,13
Hospital 136,District 20,5183
Hospital 136,District 23,30
Hospital 136,District 26,2
Hospital 136,District 28,6
Hospital 136,District 29,6
Hospital 136,District 3,82
Hospital 136,District 31,27
Hospital 136,District 32,206
Hospital 136,District 34,135
Hospital 136,District 35,38
Hospital 136,District 36,1820
Hospital 136,District 37,3
Hospital 136,District 38,77
Hospital 136,District 39,71
Hospital 136,District 4,105
Hospital 136,District 41,1734
Hospital 136,District 44,3345
Hospital 136,District 46,2
Hospital 136,District 48,59
Hospital 136,District 49,1
Hospital 136,District 5,165
Hospital 136,District 53,101
Hospital 136,District 6,50
Hospital 136,District 7,108
Hospital 136,District 8,2322
Hospital 1360,District 12,96
Hospital 1360,District 13,182
Hospital 1360,District 16,25
Hospital 1360,District 17,1
Hospital 1360,District 18,21
Hospital 1360,District 2,4
Hospital 1360,District 20,2
Hospital 1360,District 25,147
Hospital 1360,District 28,8
Hospital 1360,District 32,5
Hospital 1360,District 34,75
Hospital 1360,District 35,2
Hospital 1360,District 37,1
Hospital 1360,District 4,56
Hospital 1360,District 40,2
Hospital 1360,District 40,2
Hospital 1360,District 41,158
Hospital 1360,District 43,1
Hospital 1360,District 44,2
Hospital 1360,District 46,3
Hospital 1360,District 48,11
Hospital 1360,District 53,4655
Hospital 1360,District 6,180
Hospital 1360,District 8,75
Hospital 1361,District 12,6380
Hospital 1361,District 20,335
Hospital 1361,District 28,34
Hospital 1361,District 32,228
Hospital 1361,District 4,75
Hospital 1361,District 41,424
Hospital 1361,District 44,12
Hospital 1362,District 12,4587
Hospital 1362,District 13,93
Hospital 1362,District 16,8
Hospital 1362,District 17,239
Hospital 1362,District 2,1037
Hospital 1362,District 20,720
Hospital 1362,District 28,1
Hospital 1362,District 29,49
Hospital 1362,District 3,2
Hospital 1362,District 39,467
Hospital 1362,District 39,40
Hospital 1362,District 39,633
Hospital 1362,District 41,733
Hospital 1362,District 44,15062
Hospital 1362,District 49,1
Hospital 1362,District 7,74
Hospital 1363,District 12,56
Hospital 1363,District 13,64
Hospital 1363,District 16,25
Hospital 1363,District 17,7
Hospital 1363,District 18,12
Hospital 1363,District 19,60
Hospital 1363,District 2,2
Hospital 1363,District 23,15
Hospital 1363,District 25,3
Hospital 1363,District 28,385
Hospital 1363,District 30,320
Hospital 1363,District 35,8
Hospital 1363,District 37,34
Hospital 1363,District 4,4
Hospital 1363,District 40,43
Hospital 1363,District 41,110
Hospital 1363,District 43,350
Hospital 1363,District 44,304
Hospital 1363,District 53,21
Hospital 1363,District 6,2
Hospital 1363,District 9,226
Hospital 1365,District 12,88
Hospital 1365,District 13,1902
Hospital 1365,District 15,18
Hospital 1365,District 16,5
Hospital 1365,District 17,11
Hospital 1365,District 2,73
Hospital 1365,District 20,32
Hospital 1365,District 28,6
Hospital 1365,District 29,26
Hospital 1365,District 3,141
Hospital 1365,District 30,10
Hospital 1365,District 32,7
Hospital 1365,District 35,66
Hospital 1365,District 39,48
Hospital 1365,District 4,4
Hospital 1365,District 41,56
Hospital 1365,District 43,1
Hospital 1365,District 44,633
Hospital 1365,District 5,25
Hospital 1365,District 53,1067
Hospital 1365,District 6,61
Hospital 1365,District 8,10
Hospital 1365,District 9,42
Hospital 1366,District 12,4314
Hospital 1366,District 13,123
Hospital 1366,District 16,11
Hospital 1366,District 17,12
Hospital 1366,District 2,161
Hospital 1366,District 20,3432
Hospital 1366,District 25,1225
Hospital 1366,District 26,1250
Hospital 1366,District 28,2487
Hospital 1366,District 31,1250
Hospital 1366,District 37,2508
Hospital 1366,District 40,1250
Hospital 1366,District 41,7
Hospital 1366,District 43,1
Hospital 1366,District 44,34
Hospital 1366,District 45,15
Hospital 1366,District 46,121
Hospital 1366,District 53,2090
Hospital 1366,District 6,89
Hospital 1366,District 8,71
Hospital 1367,District 12,501
Hospital 1367,District 13,643
Hospital 1367,District 16,5
Hospital 1367,District 17,54
Hospital 1367,District 18,62
Hospital 1367,District 2,9
Hospital 1367,District 20,9
Hospital 1367,District 23,4
Hospital 1367,District 28,41
Hospital 1367,District 3,131
Hospital 1367,District 30,51
Hospital 1367,District 32,1
Hospital 1367,District 35,443
Hospital 1367,District 37,1
Hospital 1367,District 38,2
Hospital 1367,District 41,262
Hospital 1367,District 43,874
Hospital 1367,District 44,5
Hospital 1367,District 46,30
Hospital 1367,District 49,14
Hospital 1367,District 53,95
Hospital 1367,District 8,304
Hospital 1368,District 13,407
Hospital 1368,District 23,1
Hospital 1368,District 28,5924
Hospital 1368,District 34,99
Hospital 1368,District 37,1
Hospital 1368,District 48,63
Hospital 1368,District 53,1354
Hospital 1368,District 6,53
Hospital 1369,District 1,91
Hospital 1369,District 13,16070
Hospital 1369,District 17,1127
Hospital 1369,District 18,4
Hospital 1369,District 19,31
Hospital 1369,District 19,31
Hospital 1369,District 2,71
Hospital 1369,District 20,153
Hospital 1369,District 23,1
Hospital 1369,District 25,14
Hospital 1369,District 28,62
Hospital 1369,District 3,2907
Hospital 1369,District 30,174
Hospital 1369,District 32,139
Hospital 1369,District 33,584
Hospital 1369,District 34,501
Hospital 1369,District 35,1290
Hospital 1369,District 37,1087
Hospital 1369,District 38,39
Hospital 1369,District 4,206
Hospital 1369,District 40,4
Hospital 1369,District 40,4
Hospital 1369,District 43,169
Hospital 1369,District 44,2197
Hospital 1369,District 45,2
Hospital 1369,District 45,2
Hospital 1369,District 48,10
Hospital 1369,District 49,53
Hospital 1369,District 5,135
Hospital 1369,District 53,8
Hospital 1369,District 6,73
Hospital 1369,District 7,9
Hospital 1369,District 8,1760
Hospital 1369,District 9,2
Hospital 137,District 12,79
Hospital 137,District 13,103
Hospital 137,District 16,4
Hospital 137,District 18,37
Hospital 137,District 19,2606
Hospital 137,District 19,2606
Hospital 137,District 2,893
Hospital 137,District 20,81
Hospital 137,District 23,32
Hospital 137,District 25,18
Hospital 137,District 28,1283
Hospital 137,District 31,3
Hospital 137,District 32,849
Hospital 137,District 37,36
Hospital 137,District 39,138
Hospital 137,District 41,1522
Hospital 137,District 44,71
Hospital 137,District 45,2
Hospital 137,District 45,2
Hospital 137,District 46,270
Hospital 137,District 48,1
Hospital 137,District 53,2155
Hospital 1370,District 12,165
Hospital 1370,District 13,301
Hospital 1370,District 16,40
Hospital 1370,District 16,1
Hospital 1370,District 17,17
Hospital 1370,District 18,49
Hospital 1370,District 19,1160
Hospital 1370,District 19,1160
Hospital 1370,District 2,130
Hospital 1370,District 20,53
Hospital 1370,District 23,1
Hospital 1370,District 25,20
Hospital 1370,District 28,3
Hospital 1370,District 29,6
Hospital 1370,District 3,14
Hospital 1370,District 30,29
Hospital 1370,District 32,10
Hospital 1370,District 34,36
Hospital 1370,District 35,4
Hospital 1370,District 37,42
Hospital 1370,District 39,1
Hospital 1370,District 4,31
Hospital 1370,District 40,9
Hospital 1370,District 40,9
Hospital 1370,District 41,123
Hospital 1370,District 43,1
Hospital 1370,District 44,168
Hospital 1370,District 45,4
Hospital 1370,District 45,4
Hospital 1370,District 48,1
Hospital 1370,District 53,9558
Hospital 1370,District 6,601
Hospital 1370,District 8,8
Hospital 1370,District 9,14
Hospital 1371,District 12,108
Hospital 1371,District 13,224
Hospital 1371,District 15,2
Hospital 1371,District 17,6
Hospital 1371,District 18,113
Hospital 1371,District 19,126
Hospital 1371,District 2,61
Hospital 1371,District 20,35
Hospital 1371,District 25,6
Hospital 1371,District 28,275
Hospital 1371,District 3,13
Hospital 1371,District 30,160
Hospital 1371,District 32,4
Hospital 1371,District 35,81
Hospital 1371,District 37,25
Hospital 1371,District 39,27
Hospital 1371,District 40,10
Hospital 1371,District 41,100
Hospital 1371,District 43,46
Hospital 1371,District 44,112
Hospital 1371,District 45,18
Hospital 1371,District 46,1
Hospital 1371,District 48,9
Hospital 1371,District 53,1493
Hospital 1371,District 6,124
Hospital 1371,District 8,2
Hospital 1372,District 10,610
Hospital 1372,District 10,15
Hospital 1372,District 12,16
Hospital 1372,District 12,57
Hospital 1372,District 12,17
Hospital 1372,District 12,10
Hospital 1372,District 13,22
Hospital 1372,District 13,172
Hospital 1372,District 13,55
Hospital 1372,District 13,7086
Hospital 1372,District 13,95
Hospital 1372,District 13,39
Hospital 1372,District 13,50
Hospital 1372,District 13,74
Hospital 1372,District 16,6
Hospital 1372,District 16,10
Hospital 1372,District 16,19
Hospital 1372,District 16,6
Hospital 1372,District 16,80
Hospital 1372,District 16,29
Hospital 1372,District 16,150
Hospital 1372,District 16,102
Hospital 1372,District 16,25
Hospital 1372,District 16,362
Hospital 1372,District 16,519
Hospital 1372,District 17,4
Hospital 1372,District 17,1356
Hospital 1372,District 17,299
Hospital 1372,District 18,70
Hospital 1372,District 18,10
Hospital 1372,District 18,1250
Hospital 1372,District 18,16
Hospital 1372,District 18,75
Hospital 1372,District 18,50
Hospital 1372,District 19,9
Hospital 1372,District 19,82
Hospital 1372,District 2,10
Hospital 1372,District 2,12
Hospital 1372,District 2,99
Hospital 1372,District 2,13
Hospital 1372,District 2,7
Hospital 1372,District 2,133
Hospital 1372,District 2,2
Hospital 1372,District 2,15
Hospital 1372,District 2,348
Hospital 1372,District 2,234
Hospital 1372,District 2,144
Hospital 1372,District 20,8
Hospital 1372,District 20,38
Hospital 1372,District 20,92
Hospital 1372,District 20,20
Hospital 1372,District 20,7
Hospital 1372,District 20,5
Hospital 1372,District 21,5
Hospital 1372,District 23,29
Hospital 1372,District 23,50
Hospital 1372,District 25,139
Hospital 1372,District 25,81
Hospital 1372,District 25,5
Hospital 1372,District 25,11
Hospital 1372,District 25,534
Hospital 1372,District 25,2467
Hospital 1372,District 25,165
Hospital 1372,District 25,555
Hospital 1372,District 25,70
Hospital 1372,District 25,100
Hospital 1372,District 25,52
Hospital 1372,District 28,1
Hospital 1372,District 28,2
Hospital 1372,District 28,1
Hospital 1372,District 28,2
Hospital 1372,District 28,1
Hospital 1372,District 28,9
Hospital 1372,District 28,1
Hospital 1372,District 28,1
Hospital 1372,District 29,54
Hospital 1372,District 29,15
Hospital 1372,District 29,6
Hospital 1372,District 29,13
Hospital 1372,District 30,20
Hospital 1372,District 31,89
Hospital 1372,District 31,3
Hospital 1372,District 31,6383
Hospital 1372,District 31,502
Hospital 1372,District 31,294
Hospital 1372,District 31,68
Hospital 1372,District 33,12
Hospital 1372,District 34,1436
Hospital 1372,District 34,174
Hospital 1372,District 35,36
Hospital 1372,District 35,87
Hospital 1372,District 35,481
Hospital 1372,District 35,5
Hospital 1372,District 35,485
Hospital 1372,District 37,34
Hospital 1372,District 37,48
Hospital 1372,District 37,1
Hospital 1372,District 37,11
Hospital 1372,District 37,507
Hospital 1372,District 37,6
Hospital 1372,District 37,231
Hospital 1372,District 37,18
Hospital 1372,District 37,273
Hospital 1372,District 37,504
Hospital 1372,District 37,343
Hospital 1372,District 37,39
Hospital 1372,District 37,357
Hospital 1372,District 39,7
Hospital 1372,District 39,6
Hospital 1372,District 4,16
Hospital 1372,District 4,39
Hospital 1372,District 4,11
Hospital 1372,District 4,6
Hospital 1372,District 40,20
Hospital 1372,District 40,1557
Hospital 1372,District 40,16
Hospital 1372,District 40,24
Hospital 1372,District 40,8
Hospital 1372,District 40,36
Hospital 1372,District 40,1
Hospital 1372,District 40,45
Hospital 1372,District 41,21
Hospital 1372,District 41,12
Hospital 1372,District 41,30
Hospital 1372,District 41,6
Hospital 1372,District 41,66
Hospital 1372,District 42,5
Hospital 1372,District 43,3
Hospital 1372,District 43,6
Hospital 1372,District 44,23
Hospital 1372,District 44,4
Hospital 1372,District 44,111
Hospital 1372,District 44,3
Hospital 1372,District 44,76
Hospital 1372,District 45,16
Hospital 1372,District 45,104
Hospital 1372,District 45,40
Hospital 1372,District 45,1320
Hospital 1372,District 45,617
Hospital 1372,District 45,144
Hospital 1372,District 45,1719
Hospital 1372,District 45,162
Hospital 1372,District 45,16
Hospital 1372,District 45,341
Hospital 1372,District 46,62
Hospital 1372,District 46,384
Hospital 1372,District 46,3083
Hospital 1372,District 46,2959
Hospital 1372,District 46,587
Hospital 1372,District 46,590
Hospital 1372,District 46,101
Hospital 1372,District 48,9
Hospital 1372,District 48,9
Hospital 1372,District 48,1585
Hospital 1372,District 48,113
Hospital 1372,District 48,7
Hospital 1372,District 49,6346
Hospital 1372,District 49,116
Hospital 1372,District 5,2313
Hospital 1372,District 53,13
Hospital 1372,District 53,2
Hospital 1372,District 53,400
Hospital 1372,District 53,639
Hospital 1372,District 53,39
Hospital 1372,District 53,125
Hospital 1372,District 53,1482
Hospital 1372,District 53,203
Hospital 1372,District 53,3280
Hospital 1372,District 53,62
Hospital 1372,District 53,19
Hospital 1372,District 53,337
Hospital 1372,District 53,5
Hospital 1372,District 53,112
Hospital 1372,District 53,7686
Hospital 1372,District 53,313
Hospital 1372,District 53,1628
Hospital 1372,District 6,55
Hospital 1372,District 6,17
Hospital 1372,District 6,6
Hospital 1372,District 6,22
Hospital 1372,District 6,38
Hospital 1372,District 6,2
Hospital 1372,District 6,2
Hospital 1372,District 6,3
Hospital 1372,District 6,1814
Hospital 1372,District 6,45
Hospital 1372,District 8,38
Hospital 1372,District 8,28
Hospital 1372,District 8,6
Hospital 1373,District 12,118
Hospital 1373,District 13,23
Hospital 1373,District 16,80
Hospital 1373,District 18,41
Hospital 1373,District 19,15
Hospital 1373,District 2,47
Hospital 1373,District 20,34
Hospital 1373,District 23,1
Hospital 1373,District 25,9
Hospital 1373,District 28,2
Hospital 1373,District 30,6
Hospital 1373,District 31,9
Hospital 1373,District 35,2
Hospital 1373,District 36,22
Hospital 1373,District 37,123
Hospital 1373,District 4,5
Hospital 1373,District 40,2
Hospital 1373,District 41,4
Hospital 1373,District 44,20
Hospital 1373,District 45,2
Hospital 1373,District 53,7032
Hospital 1373,District 6,13
Hospital 1373,District 8,1
Hospital 1373,District 9,22
Hospital 1374,District 13,1
Hospital 1374,District 18,561
Hospital 1374,District 32,7
Hospital 1374,District 34,2
Hospital 1374,District 5,1
Hospital 1374,District 53,315
Hospital 1375,District 12,70
Hospital 1375,District 13,191
Hospital 1375,District 17,1496
Hospital 1375,District 18,6274
Hospital 1375,District 19,7
Hospital 1375,District 2,29
Hospital 1375,District 20,63
Hospital 1375,District 25,152
Hospital 1375,District 28,1
Hospital 1375,District 29,45
Hospital 1375,District 3,21
Hospital 1375,District 31,378
Hospital 1375,District 39,9
Hospital 1375,District 41,75
Hospital 1375,District 42,36
Hospital 1375,District 46,2449
Hospital 1375,District 53,175
Hospital 1375,District 6,87
Hospital 1376,District 12,249
Hospital 1376,District 13,317
Hospital 1376,District 15,28
Hospital 1376,District 16,199
Hospital 1376,District 17,22
Hospital 1376,District 19,16
Hospital 1376,District 19,16
Hospital 1376,District 2,1262
Hospital 1376,District 20,246
Hospital 1376,District 28,87
Hospital 1376,District 29,80
Hospital 1376,District 3,1597
Hospital 1376,District 30,8
Hospital 1376,District 32,4
Hospital 1376,District 35,4
Hospital 1376,District 37,532
Hospital 1376,District 40,233
Hospital 1376,District 40,233
Hospital 1376,District 41,215
Hospital 1376,District 43,10
Hospital 1376,District 44,3712
Hospital 1376,District 45,4
Hospital 1376,District 45,4
Hospital 1376,District 46,78
Hospital 1376,District 48,3
Hospital 1376,District 53,555
Hospital 1376,District 6,2455
Hospital 1376,District 8,199
Hospital 1377,District 12,292
Hospital 1377,District 13,787
Hospital 1377,District 15,76
Hospital 1377,District 16,669
Hospital 1377,District 2,212
Hospital 1377,District 20,543
Hospital 1377,District 23,4
Hospital 1377,District 25,277
Hospital 1377,District 28,32
Hospital 1377,District 3,65
Hospital 1377,District 30,29
Hospital 1377,District 33,5
Hospital 1377,District 35,159
Hospital 1377,District 37,140
Hospital 1377,District 4,27
Hospital 1377,District 40,50
Hospital 1377,District 41,121
Hospital 1377,District 43,4
Hospital 1377,District 44,9393
Hospital 1377,District 45,68
Hospital 1377,District 46,1048
Hospital 1377,District 48,11
Hospital 1377,District 53,454
Hospital 1377,District 6,20
Hospital 1377,District 8,38
Hospital 1378,District 12,6
Hospital 1378,District 13,10
Hospital 1378,District 16,61
Hospital 1378,District 20,3
Hospital 1378,District 28,81
Hospital 1378,District 35,4
Hospital 1378,District 37,14
Hospital 1378,District 4,35
Hospital 1378,District 41,3
Hospital 1378,District 43,6
Hospital 1378,District 44,19
Hospital 1378,District 53,233
Hospital 1379,District 13,374
Hospital 1379,District 16,50
Hospital 1379,District 18,26
Hospital 1379,District 19,3
Hospital 1379,District 2,42
Hospital 1379,District 23,540
Hospital 1379,District 25,5
Hospital 1379,District 26,6
Hospital 1379,District 28,50
Hospital 1379,District 31,3
Hospital 1379,District 37,50
Hospital 1379,District 39,50
Hospital 1379,District 4,1
Hospital 1379,District 40,7
Hospital 1379,District 41,1
Hospital 1379,District 44,5083
Hospital 1379,District 46,1
Hospital 1379,District 53,6846
Hospital 1379,District 6,37
Hospital 1379,District 9,301
Hospital 138,District 12,133
Hospital 138,District 13,12
Hospital 138,District 15,1
Hospital 138,District 16,5
Hospital 138,District 19,1689
Hospital 138,District 2,26
Hospital 138,District 20,78
Hospital 138,District 28,273
Hospital 138,District 3,19
Hospital 138,District 30,33
Hospital 138,District 31,10
Hospital 138,District 32,31
Hospital 138,District 34,1
Hospital 138,District 35,1
Hospital 138,District 37,35
Hospital 138,District 38,1
Hospital 138,District 4,14
Hospital 138,District 40,32
Hospital 138,District 41,1
Hospital 138,District 43,1
Hospital 138,District 44,1
Hospital 138,District 45,137
Hospital 138,District 46,8
Hospital 138,District 48,1
Hospital 138,District 5,1
Hospital 138,District 53,1101
Hospital 138,District 6,28
Hospital 138,District 9,6
Hospital 1380,District 12,105
Hospital 1380,District 13,61
Hospital 1380,District 16,38
Hospital 1380,District 17,7
Hospital 1380,District 18,421
Hospital 1380,District 19,93
Hospital 1380,District 19,93
Hospital 1380,District 2,514
Hospital 1380,District 20,43
Hospital 1380,District 23,1
Hospital 1380,District 25,42
Hospital 1380,District 28,36
Hospital 1380,District 29,17
Hospital 1380,District 3,8
Hospital 1380,District 30,8
Hospital 1380,District 32,4
Hospital 1380,District 34,10
Hospital 1380,District 35,3
Hospital 1380,District 37,215
Hospital 1380,District 40,9
Hospital 1380,District 40,9
Hospital 1380,District 41,81
Hospital 1380,District 43,34
Hospital 1380,District 44,172
Hospital 1380,District 45,88
Hospital 1380,District 45,88
Hospital 1380,District 46,3
Hospital 1380,District 53,5401
Hospital 1380,District 6,150
Hospital 1380,District 9,18
Hospital 1381,District 12,40
Hospital 1381,District 13,15
Hospital 1381,District 19,5
Hospital 1381,District 2,122
Hospital 1381,District 53,513
Hospital 1382,District 12,4854
Hospital 1382,District 20,3839
Hospital 1382,District 23,6
Hospital 1382,District 28,328
Hospital 1382,District 32,933
Hospital 1382,District 41,353
Hospital 1382,District 44,46
Hospital 1382,District 6,655
Hospital 1382,District 8,51
Hospital 1383,District 10,3
Hospital 1383,District 12,1071
Hospital 1383,District 13,103
Hospital 1383,District 15,19
Hospital 1383,District 16,22
Hospital 1383,District 17,168
Hospital 1383,District 18,339
Hospital 1383,District 19,1
Hospital 1383,District 2,39
Hospital 1383,District 20,219
Hospital 1383,District 21,3
Hospital 1383,District 23,2
Hospital 1383,District 27,3
Hospital 1383,District 28,430
Hospital 1383,District 29,5
Hospital 1383,District 3,105
Hospital 1383,District 30,5
Hospital 1383,District 31,22
Hospital 1383,District 32,29
Hospital 1383,District 35,104
Hospital 1383,District 36,33
Hospital 1383,District 37,20
Hospital 1383,District 38,7
Hospital 1383,District 39,50
Hospital 1383,District 4,50
Hospital 1383,District 40,89
Hospital 1383,District 41,67
Hospital 1383,District 43,41
Hospital 1383,District 44,2141
Hospital 1383,District 45,1
Hospital 1383,District 46,129
Hospital 1383,District 48,36
Hospital 1383,District 49,56
Hospital 1383,District 5,11
Hospital 1383,District 53,5194
Hospital 1383,District 6,89
Hospital 1383,District 8,71
Hospital 1383,District 9,25
Hospital 1384,District 12,228
Hospital 1384,District 13,1
Hospital 1384,District 17,215
Hospital 1384,District 18,4
Hospital 1384,District 19,3
Hospital 1384,District 20,39
Hospital 1384,District 23,1
Hospital 1384,District 43,2
Hospital 1384,District 44,1
Hospital 1384,District 53,3025
Hospital 1384,District 6,68
Hospital 1385,District 12,602
Hospital 1385,District 13,1501
Hospital 1385,District 15,3
Hospital 1385,District 20,2
Hospital 1385,District 25,15
Hospital 1385,District 28,117
Hospital 1385,District 3,136
Hospital 1385,District 35,1
Hospital 1385,District 37,114
Hospital 1385,District 4,90
Hospital 1385,District 41,75
Hospital 1385,District 53,11
Hospital 1385,District 8,45
Hospital 1386,District 13,666
Hospital 1386,District 17,128
Hospital 1386,District 20,1
Hospital 1386,District 28,1
Hospital 1386,District 31,190
Hospital 1386,District 34,2588
Hospital 1386,District 35,51
Hospital 1386,District 37,27
Hospital 1386,District 39,23
Hospital 1386,District 40,85
Hospital 1386,District 48,1
Hospital 1386,District 53,5153
Hospital 1386,District 8,266
Hospital 1387,District 18,6
Hospital 1387,District 20,6
Hospital 1387,District 30,2
Hospital 1387,District 40,4
Hospital 1387,District 46,3
Hospital 1387,District 53,2291
Hospital 1387,District 6,29
Hospital 1388,District 53,325
Hospital 1389,District 13,18
Hospital 1389,District 18,14
Hospital 1389,District 25,25
Hospital 1389,District 37,22
Hospital 1389,District 39,2
Hospital 1389,District 42,25
Hospital 1389,District 53,187685
Hospital 1389,District 6,2433
Hospital 139,District 12,1117
Hospital 139,District 13,31
Hospital 139,District 16,37
Hospital 139,District 17,7
Hospital 139,District 18,21
Hospital 139,District 2,2
Hospital 139,District 20,127
Hospital 139,District 23,1
Hospital 139,District 32,3
Hospital 139,District 35,74
Hospital 139,District 37,80
Hospital 139,District 41,6
Hospital 139,District 43,58
Hospital 139,District 44,100
Hospital 139,District 45,26
Hospital 139,District 48,90
Hospital 139,District 53,186
Hospital 139,District 6,97
Hospital 139,District 8,8
Hospital 1390,District 12,583
Hospital 1390,District 12,28
Hospital 1390,District 13,2
Hospital 1390,District 13,63
Hospital 1390,District 13,3
Hospital 1390,District 13,5877
Hospital 1390,District 13,523
Hospital 1390,District 16,7
Hospital 1390,District 16,22
Hospital 1390,District 16,1250
Hospital 1390,District 17,1
Hospital 1390,District 17,1250
Hospital 1390,District 18,15427
Hospital 1390,District 18,3748
Hospital 1390,District 18,4413
Hospital 1390,District 18,491
Hospital 1390,District 18,108
Hospital 1390,District 18,778
Hospital 1390,District 18,989
Hospital 1390,District 18,209
Hospital 1390,District 18,829
Hospital 1390,District 18,2765
Hospital 1390,District 18,4193
Hospital 1390,District 18,68868
Hospital 1390,District 18,24568
Hospital 1390,District 19,1
Hospital 1390,District 19,6
Hospital 1390,District 2,25
Hospital 1390,District 2,2
Hospital 1390,District 2,3
Hospital 1390,District 2,26
Hospital 1390,District 20,2
Hospital 1390,District 20,10
Hospital 1390,District 20,67
Hospital 1390,District 23,2
Hospital 1390,District 23,39
Hospital 1390,District 25,21
Hospital 1390,District 25,81
Hospital 1390,District 27,3
Hospital 1390,District 28,1
Hospital 1390,District 28,3
Hospital 1390,District 28,1
Hospital 1390,District 28,8714
Hospital 1390,District 28,1
Hospital 1390,District 3,1
Hospital 1390,District 3,10
Hospital 1390,District 30,1
Hospital 1390,District 30,1250
Hospital 1390,District 31,1043
Hospital 1390,District 32,280
Hospital 1390,District 32,2
Hospital 1390,District 33,483
Hospital 1390,District 33,43
Hospital 1390,District 35,825
Hospital 1390,District 37,189
Hospital 1390,District 37,1
Hospital 1390,District 37,1
Hospital 1390,District 37,9
Hospital 1390,District 37,1
Hospital 1390,District 37,5
Hospital 1390,District 37,105
Hospital 1390,District 37,1
Hospital 1390,District 37,1
Hospital 1390,District 39,24
Hospital 1390,District 39,38
Hospital 1390,District 4,1
Hospital 1390,District 4,5
Hospital 1390,District 4,17
Hospital 1390,District 40,583
Hospital 1390,District 41,3
Hospital 1390,District 41,2795
Hospital 1390,District 41,25
Hospital 1390,District 43,1
Hospital 1390,District 43,625
Hospital 1390,District 44,2
Hospital 1390,District 44,1
Hospital 1390,District 44,50
Hospital 1390,District 45,8
Hospital 1390,District 45,2
Hospital 1390,District 45,63
Hospital 1390,District 46,231
Hospital 1390,District 46,36
Hospital 1390,District 46,231
Hospital 1390,District 53,181
Hospital 1390,District 53,59
Hospital 1390,District 53,374
Hospital 1390,District 53,318
Hospital 1390,District 53,8
Hospital 1390,District 53,9
Hospital 1390,District 53,124
Hospital 1390,District 53,1031
Hospital 1390,District 53,1130
Hospital 1390,District 6,187
Hospital 1390,District 6,2
Hospital 1390,District 6,563
Hospital 1390,District 8,47
Hospital 1390,District 9,113
Hospital 1391,District 10,13
Hospital 1391,District 10,13
Hospital 1391,District 12,26
Hospital 1391,District 13,47
Hospital 1391,District 15,2
Hospital 1391,District 18,1
Hospital 1391,District 2,7
Hospital 1391,District 20,42
Hospital 1391,District 27,13
Hospital 1391,District 28,102
Hospital 1391,District 30,12
Hospital 1391,District 32,6
Hospital 1391,District 37,15
Hospital 1391,District 39,10
Hospital 1391,District 4,12
